pair_id,spot_position_id,fut_position_id,direction,volume,status,entry_basis,exit_basis,basis_change,duration_hours,net_pnl,first_seen_open_utc,last_updated_utc
34226816_34226815,34226816,34226815,CONVERGENCE (buy spot/sell fut),0.01,CLOSED,42.05,41.47,-0.58,3.08,0.42,2026-09-16T13:30:05.859064+00:00,2026-09-16T14:14:02.788008+00:00
34227092_34227091,34227092,34227091,CONVERGENCE (buy spot/sell fut),0.01,CLOSED,40.16,40.31,0.15,12.74,-0.31,2026-09-16T13:30:05.859064+00:00,2026-09-16T14:14:02.788008+00:00
34227214_34227213,34227214,34227213,CONVERGENCE (buy spot/sell fut),0.01,CLOSED,41.01,40.31,-0.7,11.13,0.54,2026-09-16T13:30:05.859064+00:00,2026-09-16T14:14:02.788008+00:00
34229071_34229070,34229071,34229070,CONVERGENCE (buy spot/sell fut),0.01,CLOSED,39.79,39.86,0.07,11.3,-0.17,2026-09-16T13:30:05.859064+00:00,2026-09-16T14:14:02.788008+00:00
34229105_34229104,34229105,34229104,CONVERGENCE (buy spot/sell fut),0.01,CLOSED,41.32,39.93,-1.39,11.13,1.29,2026-09-16T13:30:05.859064+00:00,2026-09-16T14:14:02.788008+00:00
34229107_34229106,34229107,34229106,CONVERGENCE (buy spot/sell fut),0.01,CLOSED,39.77,39.96,0.19,11.13,-0.29,2026-09-16T13:30:05.859064+00:00,2026-09-16T14:14:02.788008+00:00
34229430_34229429,34229430,34229429,CONVERGENCE (buy spot/sell fut),0.01,CLOSED,40.15,39.96,-0.19,8.89,0.09,2026-09-16T13:30:05.859064+00:00,2026-09-16T14:14:02.788008+00:00
34231073_34231072,34231073,34231072,CONVERGENCE (buy spot/sell fut),0.01,CLOSED,40.37,40.22,-0.15,2.16,0.05,2026-09-16T14:14:02.788008+00:00,2026-09-16T14:14:02.788008+00:00
34232434_34232433,34232434,34232433,CONVERGENCE (buy spot/sell fut),0.01,OPEN,40.78,,,0.6115,,2026-09-16T14:14:02.788008+00:00,2026-09-16T14:14:02.788008+00:00
34232482_34232481,34232482,34232481,CONVERGENCE (buy spot/sell fut),0.01,OPEN,40.97,,,-0.1082,,2026-09-16T14:14:02.788008+00:00,2026-09-16T14:14:02.788008+00:00
34232581_34232580,34232581,34232580,CONVERGENCE (buy spot/sell fut),0.01,OPEN,42.26,,,-0.6454,,2026-09-16T14:14:02.788008+00:00,2026-09-16T14:14:02.788008+00:00
34232583_34232582,34232583,34232582,CONVERGENCE (buy spot/sell fut),0.01,OPEN,43.06,,,-0.6485,,2026-09-16T14:14:02.788008+00:00,2026-09-16T14:14:02.788008+00:00
